dispatching_base_number,date,active_vehicles,trips,Day,Month,Weekday,Trips_per_Vehicle
B02765,2015-02-06,385,3569,6,February,Friday,9.27012987012987
B02598,2015-02-06,1181,11897,6,February,Friday,10.073666384419983
B02512,2015-02-06,261,1989,6,February,Friday,7.620689655172414
B02764,2015-02-06,4170,38693,6,February,Friday,9.278896882494005
B02682,2015-02-06,1414,14375,6,February,Friday,10.166195190947667
B02598,2015-02-07,1031,10512,7,February,Saturday,10.19592628516004
B02512,2015-02-07,211,1504,7,February,Saturday,7.127962085308057
B02617,2015-02-07,1383,13688,7,February,Saturday,9.897324656543745
B02682,2015-02-07,1300,13450,7,February,Saturday,10.346153846153847
B02764,2015-02-07,3849,38530,7,February,Saturday,10.010392309690829
B02765,2015-02-07,345,3473,7,February,Saturday,10.066666666666666
B02764,2015-02-08,3422,29692,8,February,Sunday,8.676797194623028
B02765,2015-02-08,313,2623,8,February,Sunday,8.380191693290735
B02598,2015-02-08,923,8129,8,February,Sunday,8.807150595882991
B02617,2015-02-08,1256,11004,8,February,Sunday,8.761146496815286
B02682,2015-02-08,1136,10356,8,February,Sunday,9.116197183098592
B02512,2015-02-08,176,1196,8,February,Sunday,6.795454545454546
B02617,2015-02-09,1312,10887,9,February,Monday,8.298018292682928
B02682,2015-02-09,1241,10209,9,February,Monday,8.226430298146656
B02598,2015-02-09,976,8135,9,February,Monday,8.335040983606557
B02764,2015-02-09,3543,28266,9,February,Monday,7.977984758679086
B02512,2015-02-09,228,1565,9,February,Monday,6.864035087719298
B02765,2015-02-09,388,2894,9,February,Monday,7.458762886597938
B02764,2015-02-10,3700,29124,10,February,Tuesday,7.871351351351351
B02512,2015-02-10,233,1555,10,February,Tuesday,6.67381974248927
B02617,2015-02-10,1364,11401,10,February,Tuesday,8.35850439882698
B02765,2015-02-10,422,3432,10,February,Tuesday,8.132701421800947
B02682,2015-02-10,1281,10536,10,February,Tuesday,8.224824355971897
B02598,2015-02-10,1029,8718,10,February,Tuesday,8.472303206997085
B02617,2015-02-11,1450,12749,11,February,Wednesday,8.792413793103448
B02764,2015-02-11,3849,31889,11,February,Wednesday,8.285009093270979
B02512,2015-02-11,255,1831,11,February,Wednesday,7.180392156862745
B02598,2015-02-11,1115,10034,11,February,Wednesday,8.999103139013453
B02765,2015-02-11,450,3778,11,February,Wednesday,8.395555555555555
B02682,2015-02-11,1396,12189,11,February,Wednesday,8.73137535816619
B02617,2015-02-12,1532,14263,12,February,Thursday,9.310052219321149
B02512,2015-02-12,269,2092,12,February,Thursday,7.776951672862453
B02682,2015-02-12,1468,13786,12,February,Thursday,9.39100817438692
B02765,2015-02-12,536,4609,12,February,Thursday,8.598880597014926
B02598,2015-02-12,1181,11640,12,February,Thursday,9.856054191363251
B02764,2015-02-12,4137,36844,12,February,Thursday,8.905970510031423
B02617,2015-02-13,1590,16996,13,February,Friday,10.68930817610063
B02682,2015-02-13,1523,16088,13,February,Friday,10.563361785948786
B02764,2015-02-13,4395,43561,13,February,Friday,9.911490329920364
B02765,2015-02-13,599,5909,13,February,Friday,9.864774624373956
B02512,2015-02-13,281,2408,13,February,Friday,8.569395017793594
B02598,2015-02-13,1216,13062,13,February,Friday,10.741776315789474
B02764,2015-02-14,4129,45858,14,February,Saturday,11.10632114313393
B02512,2015-02-14,236,2055,14,February,Saturday,8.707627118644067
B02598,2015-02-14,1111,12678,14,February,Saturday,11.411341134113412
B02765,2015-02-14,583,6307,14,February,Saturday,10.818181818181818
B02617,2015-02-14,1486,16999,14,February,Saturday,11.439434724091521
B02682,2015-02-14,1428,16448,14,February,Saturday,11.518207282913165
B02682,2015-02-15,1261,14517,15,February,Sunday,11.51229183187946
B02764,2015-02-15,3651,41209,15,February,Sunday,11.287044645302657
B02617,2015-02-15,1293,14662,15,February,Sunday,11.33952049497293
B02765,2015-02-15,521,5500,15,February,Sunday,10.556621880998081
B02512,2015-02-15,210,1996,15,February,Sunday,9.504761904761905
B02598,2015-02-15,1003,11517,15,February,Sunday,11.482552342971086
B02598,2015-02-16,934,9052,16,February,Monday,9.691648822269807
B02512,2015-02-16,207,1576,16,February,Monday,7.613526570048309
B02617,2015-02-16,1214,11824,16,February,Monday,9.739703459637562
B02764,2015-02-16,3524,33448,16,February,Monday,9.491486946651532
B02682,2015-02-16,1164,11323,16,February,Monday,9.72766323024055
B02765,2015-02-16,508,4875,16,February,Monday,9.596456692913385
B02764,2015-02-17,3826,32473,17,February,Tuesday,8.487454260324098
B02512,2015-02-17,241,1797,17,February,Tuesday,7.45643153526971
B02682,2015-02-17,1314,11887,17,February,Tuesday,9.04642313546423
B02617,2015-02-17,1378,12524,17,February,Tuesday,9.088534107402031
B02598,2015-02-17,1066,9463,17,February,Tuesday,8.877110694183864
B02765,2015-02-17,578,4907,17,February,Tuesday,8.48961937716263
B02598,2015-02-18,1078,9538,18,February,Wednesday,8.847866419294991
B02682,2015-02-18,1314,11724,18,February,Wednesday,8.922374429223744
B02617,2015-02-18,1394,12016,18,February,Wednesday,8.619799139167862
B02765,2015-02-18,586,5059,18,February,Wednesday,8.633105802047782
B02764,2015-02-18,3842,32317,18,February,Wednesday,8.41150442477876
B02512,2015-02-18,228,1589,18,February,Wednesday,6.969298245614035
B02598,2015-02-19,1127,11739,19,February,Thursday,10.416149068322982
B02512,2015-02-19,250,2120,19,February,Thursday,8.48
B02682,2015-02-19,1428,14591,19,February,Thursday,10.217787114845938
B02764,2015-02-19,4110,39110,19,February,Thursday,9.51581508515815
B02765,2015-02-19,663,6447,19,February,Thursday,9.723981900452488
B02617,2015-02-19,1452,14750,19,February,Thursday,10.158402203856749
B02764,2015-02-20,4384,44755,20,February,Friday,10.208713503649635
B02617,2015-02-20,1574,16856,20,February,Friday,10.709021601016518
B02598,2015-02-20,1186,12758,20,February,Friday,10.75716694772344
B02682,2015-02-20,1497,16342,20,February,Friday,10.916499665998664
B02765,2015-02-20,736,7824,20,February,Friday,10.630434782608695
B02512,2015-02-20,272,2380,20,February,Friday,8.75
B02598,2015-02-21,1044,12132,21,February,Saturday,11.620689655172415
B02682,2015-02-21,1374,16149,21,February,Saturday,11.753275109170305
B02765,2015-02-21,685,7658,21,February,Saturday,11.17956204379562
B02617,2015-02-21,1443,16098,21,February,Saturday,11.155925155925155
B02512,2015-02-21,238,2149,21,February,Saturday,9.029411764705882
B02764,2015-02-21,3981,44194,21,February,Saturday,11.101230846520975
B02512,2015-02-22,199,1312,22,February,Sunday,6.592964824120603
B02617,2015-02-22,1248,10696,22,February,Sunday,8.570512820512821
B02682,2015-02-22,1220,10970,22,February,Sunday,8.991803278688524
B02764,2015-02-22,3478,30157,22,February,Sunday,8.670787809085681
B02598,2015-02-22,909,8271,22,February,Sunday,9.099009900990099
B02765,2015-02-22,566,5034,22,February,Sunday,8.89399293286219
B02598,2015-02-23,966,8943,23,February,Monday,9.25776397515528
B02617,2015-02-23,1332,11720,23,February,Monday,8.7987987987988
B02764,2015-02-23,3734,31173,23,February,Monday,8.34841992501339
B02682,2015-02-23,1262,11714,23,February,Monday,9.282091917591126
B02765,2015-02-23,665,5823,23,February,Monday,8.756390977443608
B02512,2015-02-23,238,1844,23,February,Monday,7.7478991596638656
B02764,2015-02-24,3965,34686,24,February,Tuesday,8.748045397225725
B02512,2015-02-24,247,1869,24,February,Tuesday,7.566801619433198
B02598,2015-02-24,1061,9954,24,February,Tuesday,9.381715362865222
B02682,2015-02-24,1346,12497,24,February,Tuesday,9.284546805349184
B02617,2015-02-24,1456,13719,24,February,Tuesday,9.42239010989011
B02765,2015-02-24,698,6390,24,February,Tuesday,9.154727793696274
B02512,2015-02-25,246,1647,25,February,Wednesday,6.695121951219512
B02598,2015-02-25,1076,9405,25,February,Wednesday,8.740706319702602
B02765,2015-02-25,706,6178,25,February,Wednesday,8.75070821529745
B02682,2015-02-25,1395,12693,25,February,Wednesday,9.098924731182796
B02617,2015-02-25,1473,12811,25,February,Wednesday,8.697216564833672
B02764,2015-02-25,3934,31957,25,February,Wednesday,8.123284189120488
